Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
22,16.137573978965268,0.7024544735406022,2.6820988989732086,153,417,228,798,0,220,8,0.2857142857142857,0.5225563909774437
23,16.65554642573976,0.7174064473788877,2.7391882536284813,176,449,259,884,0,249,10,0.29298642533936653,0.5079185520361991
24,17.308936523013664,0.7360482344821646,2.810365986204628,186,489,296,971,0,284,12,0.30484037075180226,0.5036045314109165
25,18.332468073816838,0.7647860836013736,2.920092319205246,227,526,305,1058,0,297,8,0.2882797731568998,0.497164461247637
26,19.116918580257263,0.7864502934368477,3.0028102113043293,238,603,305,1146,0,300,5,0.2661431064572426,0.5261780104712042
27,19.98417131471072,0.8100592418559652,3.0929534689045943,239,674,324,1237,0,317,7,0.26192400970088925,0.5448666127728375
28,20.393131288758106,0.8210733607943114,3.1350073775782787,266,733,333,1332,0,324,9,0.25,0.5503003003003003
29,21.121922519952477,0.8405205098609794,3.2092601285601052,277,777,387,1441,0,385,2,0.2685634975711312,0.5392088827203331
30,22.167105552690984,0.8680245559894013,3.3142755774140795,314,838,399,1551,0,397,2,0.2572533849129594,0.5402965828497743
31,23.107045450572844,0.8923919230649778,3.4073146153390055,340,926,399,1665,0,395,4,0.23963963963963963,0.5561561561561561
32,23.756054716404968,0.9090244468778469,3.4708206153517787,346,1028,414,1788,0,410,4,0.23154362416107382,0.5749440715883669
33,24.397943418128566,0.9253261415813833,3.533063449674373,353,1101,458,1912,0,454,4,0.2395397489539749,0.575836820083682
34,25.158932827222255,0.9444685384461694,3.6061526013399186,391,1161,494,2046,0,490,4,0.24144672531769307,0.5674486803519062
35,25.957266963855094,0.9643440257780057,3.6820408256978383,419,1244,528,2191,0,522,6,0.2409858512094934,0.56777727065267
36,27.017659550809693,0.9904316308653304,3.781648045122172,404,1347,587,2338,0,577,10,0.2510692899914457,0.5761334473909324
37,27.753659470741816,1.0083381264981561,3.850018301174778,446,1471,571,2488,0,559,12,0.2295016077170418,0.5912379421221865
38,28.412965881417893,1.024244714986502,3.9107525481302803,460,1565,632,2657,0,616,16,0.23786225065863756,0.5890101618366579
39,29.580108735024936,1.0521052697769315,4.017129211875557,516,1648,650,2814,0,642,8,0.23098791755508175,0.5856432125088842
40,30.51899514814647,1.0742520025525044,4.10168946429138,548,1800,638,2986,0,632,6,0.21366376423308775,0.6028131279303416
41,31.436340131766332,1.0956722720801362,4.183475947942336,568,1938,645,3151,0,637,8,0.2046969216121866,0.6150428435417328
42,32.34696484634982,1.1167304961436249,4.2638800761847495,589,2059,677,3325,0,669,8,0.203609022556391,0.6192481203007518
43,33.17518391045101,1.1357120783783219,4.336355208353594,614,2195,692,3501,0,684,8,0.19765781205369895,0.6269637246501
44,34.08357716487115,1.156350425181736,4.415156168875718,662,2313,704,3679,0,696,8,0.19135634683337863,0.6287034520250068
45,34.88720554501861,1.1744561537882285,4.484287132645963,671,2458,713,3842,0,707,6,0.1855804268610099,0.6397709526288391
46,35.46337792769389,1.1873518101677125,4.533525093367632,690,2599,701,3990,0,695,6,0.17568922305764412,0.6513784461152882
47,36.14210624619348,1.2024535919136605,4.591186441852162,745,2687,673,4105,0,671,2,0.16394640682095007,0.6545676004872107
48,36.46574724177527,1.2096213123755026,4.618554101797373,765,2791,634,4190,0,632,2,0.1513126491646778,0.666109785202864
49,36.59430844326821,1.2124626844895035,4.629402977141741,778,2864,613,4255,0,611,2,0.14406580493537016,0.673090481786134
50,36.70352290149393,1.214873854999554,4.638609264543749,819,2878,608,4305,0,606,2,0.14123112659698026,0.6685249709639953
51,36.71655690118382,1.215161451886822,4.639707361749682,850,2898,602,4350,0,600,2,0.13839080459770114,0.6662068965517242
52,36.75679613505838,1.216049121155005,4.643096644410019,875,2905,613,4393,0,611,2,0.13954017755520146,0.661279307989984
53,36.859862063124616,1.218321258464192,4.651772077772372,891,2930,613,4434,0,611,2,0.13824988723500226,0.6608028867839423
54,37.01920123328173,1.221829803039389,4.665168338877669,923,2937,614,4474,0,612,2,0.13723737147966025,0.656459544032186
55,37.29955669178786,1.2279908532911874,4.688692348929993,924,2990,590,4504,0,590,0,0.13099467140319715,0.6638543516873889
56,37.380804135667006,1.2297734469888368,4.695498615775558,949,3049,532,4530,0,532,0,0.11743929359823399,0.6730684326710816
57,37.51424554584395,1.2326983924901331,4.706666589507781,954,3081,516,4551,0,516,0,0.1133816743572841,0.6769940672379697
58,37.572414478644475,1.2339723304477175,4.71153071625492,997,3082,481,4560,0,481,0,0.10548245614035087,0.6758771929824562
59,37.61319317034522,1.2348650186961945,4.714939162294561,978,3106,487,4571,0,487,0,0.1065412382410851,0.6795012032378035
60,37.65752100552823,1.2358350355482497,4.718642863002408,998,3106,475,4579,0,475,0,0.1037344398340249,0.6783140423673291
61,37.67923810372068,1.236310127395494,4.720456850055522,1026,3106,450,4582,0,450,0,0.09821038847664776,0.6778699257965953
62,37.68397229314942,1.2364136822809326,4.720852241436289,1026,3106,452,4584,0,452,0,0.09860383944153578,0.6775741710296684
63,37.6839722931494,1.2364136822809326,4.720852241436289,1026,3106,452,4584,0,452,0,0.09860383944153578,0.6775741710296684
64,37.68397229314938,1.2364136822809326,4.720852241436287,1026,3106,452,4584,0,452,0,0.09860383944153578,0.6775741710296684
65,37.68397229314942,1.2364136822809326,4.720852241436289,1026,3106,452,4584,0,452,0,0.09860383944153578,0.6775741710296684
66,37.68397229314943,1.2364136822809324,4.720852241436288,1026,3106,452,4584,0,452,0,0.09860383944153578,0.6775741710296684
67,37.68397229314938,1.2364136822809326,4.720852241436287,1026,3106,452,4584,0,452,0,0.09860383944153578,0.6775741710296684
68,37.684711891182495,1.2364298597357088,4.720914009899978,1035,3106,443,4584,0,443,0,0.09664048865619546,0.6775741710296684
69,37.68446419120556,1.2364244417298755,4.720893322968614,1047,3106,431,4584,0,423,8,0.09402268760907505,0.6775741710296684
70,37.677414596459876,1.2362702391388711,4.720304549439324,1083,3106,395,4584,0,379,16,0.08616928446771378,0.6775741710296684
71,37.699662310686705,1.236756852161888,4.722162526436299,1118,3106,360,4584,0,314,46,0.07853403141361257,0.6775741710296684
72,37.669664252408104,1.2361006972826034,4.719657207806302,1149,3106,329,4584,0,256,73,0.07177137870855148,0.6775741710296684
73,37.67774588097435,1.2362774858601946,4.720332218738924,1182,3106,296,4584,0,198,98,0.06457242582897033,0.6775741710296684
74,37.67289342224701,1.2361713380690704,4.7199269271728115,1190,3106,288,4584,0,163,125,0.06282722513089005,0.6775741710296684
75,37.683572182797626,1.2364049305002918,4.720818825546565,1202,3106,276,4584,0,139,137,0.060209424083769635,0.6775741710296684
76,37.67789018993117,1.2362806425564767,4.720344271579274,1199,3106,279,4584,0,139,140,0.06086387434554974,0.6775741710296684
77,37.68894428304015,1.2365224341062084,4.721267475678251,1217,3106,261,4584,0,116,145,0.05693717277486911,0.6775741710296684
78,37.67994248417983,1.2363255351731055,4.720515679751858,1205,3106,273,4584,0,116,157,0.05955497382198953,0.6775741710296684
